Areaname,commaloc,Admin2,StateAbrev,State
"Jefferson, ID",10,Jefferson,ID,Idaho
"Jerome, ID",7,Jerome,ID,Idaho
"Kootenai, ID",9,Kootenai,ID,Idaho
"Latah, ID",6,Latah,ID,Idaho
"Lemhi, ID",6,Lemhi,ID,Idaho
"Lewis, ID",6,Lewis,ID,Idaho
"Lincoln, ID",8,Lincoln,ID,Idaho
"Madison, ID",8,Madison,ID,Idaho
"Minidoka, ID",9,Minidoka,ID,Idaho
"Nez Perce, ID",10,Nez Perce,ID,Idaho
"Oneida, ID",7,Oneida,ID,Idaho
"Owyhee, ID",7,Owyhee,ID,Idaho
"Payette, ID",8,Payette,ID,Idaho
"Power, ID",6,Power,ID,Idaho
"Shoshone, ID",9,Shoshone,ID,Idaho
"Teton, ID",6,Teton,ID,Idaho
"Twin Falls, ID",11,Twin Falls,ID,Idaho
"Valley, ID",7,Valley,ID,Idaho
"Washington, ID",11,Washington,ID,Idaho
"Adams, IL",6,Adams,IL,Illinois
"Alexander, IL",10,Alexander,IL,Illinois
"Bond, IL",5,Bond,IL,Illinois
"Boone, IL",6,Boone,IL,Illinois
"Brown, IL",6,Brown,IL,Illinois
"Bureau, IL",7,Bureau,IL,Illinois
"Calhoun, IL",8,Calhoun,IL,Illinois
"Carroll, IL",8,Carroll,IL,Illinois
"Cass, IL",5,Cass,IL,Illinois
"Champaign, IL",10,Champaign,IL,Illinois
"Christian, IL",10,Christian,IL,Illinois
"Clark, IL",6,Clark,IL,Illinois
"Clay, IL",5,Clay,IL,Illinois
"Clinton, IL",8,Clinton,IL,Illinois
"Coles, IL",6,Coles,IL,Illinois
"Cook, IL",5,Cook,IL,Illinois
"Crawford, IL",9,Crawford,IL,Illinois
"Cumberland, IL",11,Cumberland,IL,Illinois
"De Witt, IL",8,De Witt,IL,Illinois
"DeKalb, IL",7,DeKalb,IL,Illinois
"Douglas, IL",8,Douglas,IL,Illinois
"DuPage, IL",7,DuPage,IL,Illinois
"Edgar, IL",6,Edgar,IL,Illinois
"Edwards, IL",8,Edwards,IL,Illinois
"Effingham, IL",10,Effingham,IL,Illinois
"Fayette, IL",8,Fayette,IL,Illinois
"Ford, IL",5,Ford,IL,Illinois
"Franklin, IL",9,Franklin,IL,Illinois
"Fulton, IL",7,Fulton,IL,Illinois
"Gallatin, IL",9,Gallatin,IL,Illinois
"Greene, IL",7,Greene,IL,Illinois
"Grundy, IL",7,Grundy,IL,Illinois
"Hamilton, IL",9,Hamilton,IL,Illinois
"Hancock, IL",8,Hancock,IL,Illinois
"Hardin, IL",7,Hardin,IL,Illinois
"Henderson, IL",10,Henderson,IL,Illinois
"Henry, IL",6,Henry,IL,Illinois
"Iroquois, IL",9,Iroquois,IL,Illinois
"Jackson, IL",8,Jackson,IL,Illinois
"Jasper, IL",7,Jasper,IL,Illinois
"Jefferson, IL",10,Jefferson,IL,Illinois
"Jersey, IL",7,Jersey,IL,Illinois
"Jo Daviess, IL",11,Jo Daviess,IL,Illinois
"Johnson, IL",8,Johnson,IL,Illinois
"Kane, IL",5,Kane,IL,Illinois
"Kankakee, IL",9,Kankakee,IL,Illinois
"Kendall, IL",8,Kendall,IL,Illinois
"Knox, IL",5,Knox,IL,Illinois
"Lake, IL",5,Lake,IL,Illinois
"LaSalle, IL",8,LaSalle,IL,Illinois
"Lawrence, IL",9,Lawrence,IL,Illinois
"Lee, IL",4,Lee,IL,Illinois
"Livingston, IL",11,Livingston,IL,Illinois
"Logan, IL",6,Logan,IL,Illinois
"Macon, IL",6,Macon,IL,Illinois
"Macoupin, IL",9,Macoupin,IL,Illinois
"Madison, IL",8,Madison,IL,Illinois
"Marion, IL",7,Marion,IL,Illinois
"Marshall, IL",9,Marshall,IL,Illinois
"Mason, IL",6,Mason,IL,Illinois
"Massac, IL",7,Massac,IL,Illinois
"McDonough, IL",10,McDonough,IL,Illinois
"McHenry, IL",8,McHenry,IL,Illinois
"McLean, IL",7,McLean,IL,Illinois
"Menard, IL",7,Menard,IL,Illinois
"Mercer, IL",7,Mercer,IL,Illinois
"Monroe, IL",7,Monroe,IL,Illinois
"Montgomery, IL",11,Montgomery,IL,Illinois
"Morgan, IL",7,Morgan,IL,Illinois
"Moultrie, IL",9,Moultrie,IL,Illinois
"Ogle, IL",5,Ogle,IL,Illinois
"Peoria, IL",7,Peoria,IL,Illinois
"Perry, IL",6,Perry,IL,Illinois
"Piatt, IL",6,Piatt,IL,Illinois
"Pike, IL",5,Pike,IL,Illinois
"Pope, IL",5,Pope,IL,Illinois
"Pulaski, IL",8,Pulaski,IL,Illinois
"Putnam, IL",7,Putnam,IL,Illinois
"Randolph, IL",9,Randolph,IL,Illinois
"Richland, IL",9,Richland,IL,Illinois
"Rock Island, IL",12,Rock Island,IL,Illinois
"Saline, IL",7,Saline,IL,Illinois
"Sangamon, IL",9,Sangamon,IL,Illinois
"Schuyler, IL",9,Schuyler,IL,Illinois
"Scott, IL",6,Scott,IL,Illinois
"Shelby, IL",7,Shelby,IL,Illinois
"St. Clair, IL",10,St. Clair,IL,Illinois
"Stark, IL",6,Stark,IL,Illinois
"Stephenson, IL",11,Stephenson,IL,Illinois
"Tazewell, IL",9,Tazewell,IL,Illinois
"Union, IL",6,Union,IL,Illinois
"Vermilion, IL",10,Vermilion,IL,Illinois
"Wabash, IL",7,Wabash,IL,Illinois
"Warren, IL",7,Warren,IL,Illinois
"Washington, IL",11,Washington,IL,Illinois
"Wayne, IL",6,Wayne,IL,Illinois
"White, IL",6,White,IL,Illinois
"Whiteside, IL",10,Whiteside,IL,Illinois
"Will, IL",5,Will,IL,Illinois
"Williamson, IL",11,Williamson,IL,Illinois
"Winnebago, IL",10,Winnebago,IL,Illinois
"Woodford, IL",9,Woodford,IL,Illinois
"Adams, IN",6,Adams,IN,Indiana
"Allen, IN",6,Allen,IN,Indiana
"Bartholomew, IN",12,Bartholomew,IN,Indiana
"Benton, IN",7,Benton,IN,Indiana
"Blackford, IN",10,Blackford,IN,Indiana
"Boone, IN",6,Boone,IN,Indiana
"Brown, IN",6,Brown,IN,Indiana
"Carroll, IN",8,Carroll,IN,Indiana
"Cass, IN",5,Cass,IN,Indiana
"Clark, IN",6,Clark,IN,Indiana
"Clay, IN",5,Clay,IN,Indiana
"Clinton, IN",8,Clinton,IN,Indiana
"Crawford, IN",9,Crawford,IN,Indiana
"Daviess, IN",8,Daviess,IN,Indiana
"Dearborn, IN",9,Dearborn,IN,Indiana
"Decatur, IN",8,Decatur,IN,Indiana
"DeKalb, IN",7,DeKalb,IN,Indiana
"Delaware, IN",9,Delaware,IN,Indiana
"Dubois, IN",7,Dubois,IN,Indiana
"Elkhart, IN",8,Elkhart,IN,Indiana
"Fayette, IN",8,Fayette,IN,Indiana
"Floyd, IN",6,Floyd,IN,Indiana
"Fountain, IN",9,Fountain,IN,Indiana
"Franklin, IN",9,Franklin,IN,Indiana
"Fulton, IN",7,Fulton,IN,Indiana
"Gibson, IN",7,Gibson,IN,Indiana
"Grant, IN",6,Grant,IN,Indiana
"Greene, IN",7,Greene,IN,Indiana
"Hamilton, IN",9,Hamilton,IN,Indiana
"Hancock, IN",8,Hancock,IN,Indiana
"Harrison, IN",9,Harrison,IN,Indiana
"Hendricks, IN",10,Hendricks,IN,Indiana
"Henry, IN",6,Henry,IN,Indiana
"Howard, IN",7,Howard,IN,Indiana
"Huntington, IN",11,Huntington,IN,Indiana
"Jackson, IN",8,Jackson,IN,Indiana
"Jasper, IN",7,Jasper,IN,Indiana
"Jay, IN",4,Jay,IN,Indiana
"Jefferson, IN",10,Jefferson,IN,Indiana
"Jennings, IN",9,Jennings,IN,Indiana
"Johnson, IN",8,Johnson,IN,Indiana
"Knox, IN",5,Knox,IN,Indiana
"Kosciusko, IN",10,Kosciusko,IN,Indiana
"LaGrange, IN",9,LaGrange,IN,Indiana
"Lake, IN",5,Lake,IN,Indiana
"LaPorte, IN",8,LaPorte,IN,Indiana
"Lawrence, IN",9,Lawrence,IN,Indiana
"Madison, IN",8,Madison,IN,Indiana
"Marion, IN",7,Marion,IN,Indiana
"Marshall, IN",9,Marshall,IN,Indiana
"Martin, IN",7,Martin,IN,Indiana
"Miami, IN",6,Miami,IN,Indiana
"Monroe, IN",7,Monroe,IN,Indiana
"Montgomery, IN",11,Montgomery,IN,Indiana
"Morgan, IN",7,Morgan,IN,Indiana
"Newton, IN",7,Newton,IN,Indiana
"Noble, IN",6,Noble,IN,Indiana
"Ohio, IN",5,Ohio,IN,Indiana
"Orange, IN",7,Orange,IN,Indiana
"Owen, IN",5,Owen,IN,Indiana
"Parke, IN",6,Parke,IN,Indiana
"Perry, IN",6,Perry,IN,Indiana
"Pike, IN",5,Pike,IN,Indiana
"Porter, IN",7,Porter,IN,Indiana
"Posey, IN",6,Posey,IN,Indiana
"Pulaski, IN",8,Pulaski,IN,Indiana
"Putnam, IN",7,Putnam,IN,Indiana
"Randolph, IN",9,Randolph,IN,Indiana
"Ripley, IN",7,Ripley,IN,Indiana
"Rush, IN",5,Rush,IN,Indiana
"Scott, IN",6,Scott,IN,Indiana
"Shelby, IN",7,Shelby,IN,Indiana
"Spencer, IN",8,Spencer,IN,Indiana
"St. Joseph, IN",11,St. Joseph,IN,Indiana
"Starke, IN",7,Starke,IN,Indiana
"Steuben, IN",8,Steuben,IN,Indiana
"Sullivan, IN",9,Sullivan,IN,Indiana
"Switzerland, IN",12,Switzerland,IN,Indiana
"Tippecanoe, IN",11,Tippecanoe,IN,Indiana
"Tipton, IN",7,Tipton,IN,Indiana
"Union, IN",6,Union,IN,Indiana
"Vanderburgh, IN",12,Vanderburgh,IN,Indiana
"Vermillion, IN",11,Vermillion,IN,Indiana
"Vigo, IN",5,Vigo,IN,Indiana
"Wabash, IN",7,Wabash,IN,Indiana
"Warren, IN",7,Warren,IN,Indiana
"Warrick, IN",8,Warrick,IN,Indiana
"Washington, IN",11,Washington,IN,Indiana
"Wayne, IN",6,Wayne,IN,Indiana
"Wells, IN",6,Wells,IN,Indiana
"White, IN",6,White,IN,Indiana
"Whitley, IN",8,Whitley,IN,Indiana
"Adair, IA",6,Adair,IA,Iowa
"Adams, IA",6,Adams,IA,Iowa
"Allamakee, IA",10,Allamakee,IA,Iowa
"Appanoose, IA",10,Appanoose,IA,Iowa
"Audubon, IA",8,Audubon,IA,Iowa
"Benton, IA",7,Benton,IA,Iowa
"Black Hawk, IA",11,Black Hawk,IA,Iowa
"Boone, IA",6,Boone,IA,Iowa
"Bremer, IA",7,Bremer,IA,Iowa
"Buchanan, IA",9,Buchanan,IA,Iowa
"Buena Vista, IA",12,Buena Vista,IA,Iowa
"Butler, IA",7,Butler,IA,Iowa
"Calhoun, IA",8,Calhoun,IA,Iowa
"Carroll, IA",8,Carroll,IA,Iowa
"Cass, IA",5,Cass,IA,Iowa
"Cedar, IA",6,Cedar,IA,Iowa
"Cerro Gordo, IA",12,Cerro Gordo,IA,Iowa
"Cherokee, IA",9,Cherokee,IA,Iowa
"Chickasaw, IA",10,Chickasaw,IA,Iowa
"Clarke, IA",7,Clarke,IA,Iowa
"Clay, IA",5,Clay,IA,Iowa
"Clayton, IA",8,Clayton,IA,Iowa
"Clinton, IA",8,Clinton,IA,Iowa
"Crawford, IA",9,Crawford,IA,Iowa
"Dallas, IA",7,Dallas,IA,Iowa
"Davis, IA",6,Davis,IA,Iowa
"Decatur, IA",8,Decatur,IA,Iowa
"Delaware, IA",9,Delaware,IA,Iowa
"Des Moines, IA",11,Des Moines,IA,Iowa
"Dickinson, IA",10,Dickinson,IA,Iowa
"Dubuque, IA",8,Dubuque,IA,Iowa
"Emmet, IA",6,Emmet,IA,Iowa
"Fayette, IA",8,Fayette,IA,Iowa
"Floyd, IA",6,Floyd,IA,Iowa
"Franklin, IA",9,Franklin,IA,Iowa
"Fremont, IA",8,Fremont,IA,Iowa
"Greene, IA",7,Greene,IA,Iowa
"Grundy, IA",7,Grundy,IA,Iowa
"Guthrie, IA",8,Guthrie,IA,Iowa
"Hamilton, IA",9,Hamilton,IA,Iowa
"Hancock, IA",8,Hancock,IA,Iowa
"Hardin, IA",7,Hardin,IA,Iowa
"Harrison, IA",9,Harrison,IA,Iowa
"Henry, IA",6,Henry,IA,Iowa
"Howard, IA",7,Howard,IA,Iowa
"Humboldt, IA",9,Humboldt,IA,Iowa
"Ida, IA",4,Ida,IA,Iowa
"Iowa, IA",5,Iowa,IA,Iowa
"Jackson, IA",8,Jackson,IA,Iowa
"Jasper, IA",7,Jasper,IA,Iowa
"Jefferson, IA",10,Jefferson,IA,Iowa
"Johnson, IA",8,Johnson,IA,Iowa
"Jones, IA",6,Jones,IA,Iowa
"Keokuk, IA",7,Keokuk,IA,Iowa
"Kossuth, IA",8,Kossuth,IA,Iowa
"Lee, IA",4,Lee,IA,Iowa
"Linn, IA",5,Linn,IA,Iowa
"Louisa, IA",7,Louisa,IA,Iowa
"Lucas, IA",6,Lucas,IA,Iowa
"Lyon, IA",5,Lyon,IA,Iowa
"Madison, IA",8,Madison,IA,Iowa
"Mahaska, IA",8,Mahaska,IA,Iowa
"Marion, IA",7,Marion,IA,Iowa
"Marshall, IA",9,Marshall,IA,Iowa
"Mills, IA",6,Mills,IA,Iowa
"Mitchell, IA",9,Mitchell,IA,Iowa
"Monona, IA",7,Monona,IA,Iowa
"Monroe, IA",7,Monroe,IA,Iowa
"Montgomery, IA",11,Montgomery,IA,Iowa
"Muscatine, IA",10,Muscatine,IA,Iowa
"O'Brien, IA",8,O'Brien,IA,Iowa
"Osceola, IA",8,Osceola,IA,Iowa
"Page, IA",5,Page,IA,Iowa
"Palo Alto, IA",10,Palo Alto,IA,Iowa
"Plymouth, IA",9,Plymouth,IA,Iowa
"Pocahontas, IA",11,Pocahontas,IA,Iowa
"Polk, IA",5,Polk,IA,Iowa
"Pottawattamie, IA",14,Pottawattamie,IA,Iowa
"Poweshiek, IA",10,Poweshiek,IA,Iowa
"Ringgold, IA",9,Ringgold,IA,Iowa
"Sac, IA",4,Sac,IA,Iowa
"Scott, IA",6,Scott,IA,Iowa
"Shelby, IA",7,Shelby,IA,Iowa
"Sioux, IA",6,Sioux,IA,Iowa
"Story, IA",6,Story,IA,Iowa
"Tama, IA",5,Tama,IA,Iowa
"Taylor, IA",7,Taylor,IA,Iowa
"Union, IA",6,Union,IA,Iowa
"Van Buren, IA",10,Van Buren,IA,Iowa
"Wapello, IA",8,Wapello,IA,Iowa
"Warren, IA",7,Warren,IA,Iowa
"Washington, IA",11,Washington,IA,Iowa
"Wayne, IA",6,Wayne,IA,Iowa
"Webster, IA",8,Webster,IA,Iowa
"Winnebago, IA",10,Winnebago,IA,Iowa
"Winneshiek, IA",11,Winneshiek,IA,Iowa
"Woodbury, IA",9,Woodbury,IA,Iowa
"Worth, IA",6,Worth,IA,Iowa
"Wright, IA",7,Wright,IA,Iowa
"Allen, KS",6,Allen,KS,Kansas
"Anderson, KS",9,Anderson,KS,Kansas
"Atchison, KS",9,Atchison,KS,Kansas
"Barber, KS",7,Barber,KS,Kansas
"Barton, KS",7,Barton,KS,Kansas
"Bourbon, KS",8,Bourbon,KS,Kansas
"Brown, KS",6,Brown,KS,Kansas
"Butler, KS",7,Butler,KS,Kansas
"Chase, KS",6,Chase,KS,Kansas
"Chautauqua, KS",11,Chautauqua,KS,Kansas
"Cherokee, KS",9,Cherokee,KS,Kansas
"Cheyenne, KS",9,Cheyenne,KS,Kansas
"Clark, KS",6,Clark,KS,Kansas
"Clay, KS",5,Clay,KS,Kansas
"Cloud, KS",6,Cloud,KS,Kansas
"Coffey, KS",7,Coffey,KS,Kansas
"Comanche, KS",9,Comanche,KS,Kansas
"Cowley, KS",7,Cowley,KS,Kansas
"Crawford, KS",9,Crawford,KS,Kansas
"Decatur, KS",8,Decatur,KS,Kansas
"Dickinson, KS",10,Dickinson,KS,Kansas
"Doniphan, KS",9,Doniphan,KS,Kansas
"Douglas, KS",8,Douglas,KS,Kansas
"Edwards, KS",8,Edwards,KS,Kansas
"Elk, KS",4,Elk,KS,Kansas
"Ellis, KS",6,Ellis,KS,Kansas
"Ellsworth, KS",10,Ellsworth,KS,Kansas
"Finney, KS",7,Finney,KS,Kansas
"Ford, KS",5,Ford,KS,Kansas
"Franklin, KS",9,Franklin,KS,Kansas
"Geary, KS",6,Geary,KS,Kansas
"Gove, KS",5,Gove,KS,Kansas
"Graham, KS",7,Graham,KS,Kansas
"Grant, KS",6,Grant,KS,Kansas
"Gray, KS",5,Gray,KS,Kansas
"Greeley, KS",8,Greeley,KS,Kansas
"Greenwood, KS",10,Greenwood,KS,Kansas
"Hamilton, KS",9,Hamilton,KS,Kansas
"Harper, KS",7,Harper,KS,Kansas
"Harvey, KS",7,Harvey,KS,Kansas
"Haskell, KS",8,Haskell,KS,Kansas
"Hodgeman, KS",9,Hodgeman,KS,Kansas
"Jackson, KS",8,Jackson,KS,Kansas
"Jefferson, KS",10,Jefferson,KS,Kansas
"Jewell, KS",7,Jewell,KS,Kansas
"Johnson, KS",8,Johnson,KS,Kansas
"Kearny, KS",7,Kearny,KS,Kansas
"Kingman, KS",8,Kingman,KS,Kansas
"Kiowa, KS",6,Kiowa,KS,Kansas
"Labette, KS",8,Labette,KS,Kansas
"Lane, KS",5,Lane,KS,Kansas
"Leavenworth, KS",12,Leavenworth,KS,Kansas
"Lincoln, KS",8,Lincoln,KS,Kansas
"Linn, KS",5,Linn,KS,Kansas
"Logan, KS",6,Logan,KS,Kansas
"Lyon, KS",5,Lyon,KS,Kansas
"Marion, KS",7,Marion,KS,Kansas
"Marshall, KS",9,Marshall,KS,Kansas
"McPherson, KS",10,McPherson,KS,Kansas
"Meade, KS",6,Meade,KS,Kansas
"Miami, KS",6,Miami,KS,Kansas
"Mitchell, KS",9,Mitchell,KS,Kansas
"Montgomery, KS",11,Montgomery,KS,Kansas
"Morris, KS",7,Morris,KS,Kansas
"Morton, KS",7,Morton,KS,Kansas
"Nemaha, KS",7,Nemaha,KS,Kansas
"Neosho, KS",7,Neosho,KS,Kansas
"Ness, KS",5,Ness,KS,Kansas
"Norton, KS",7,Norton,KS,Kansas
"Osage, KS",6,Osage,KS,Kansas
"Osborne, KS",8,Osborne,KS,Kansas
"Ottawa, KS",7,Ottawa,KS,Kansas
"Pawnee, KS",7,Pawnee,KS,Kansas
"Phillips, KS",9,Phillips,KS,Kansas
"Pottawatomie, KS",13,Pottawatomie,KS,Kansas
"Pratt, KS",6,Pratt,KS,Kansas
"Rawlins, KS",8,Rawlins,KS,Kansas
"Reno, KS",5,Reno,KS,Kansas
"Republic, KS",9,Republic,KS,Kansas
"Rice, KS",5,Rice,KS,Kansas
"Riley, KS",6,Riley,KS,Kansas
"Rooks, KS",6,Rooks,KS,Kansas
"Rush, KS",5,Rush,KS,Kansas
"Russell, KS",8,Russell,KS,Kansas
"Saline, KS",7,Saline,KS,Kansas
"Scott, KS",6,Scott,KS,Kansas
"Sedgwick, KS",9,Sedgwick,KS,Kansas
"Seward, KS",7,Seward,KS,Kansas
"Shawnee, KS",8,Shawnee,KS,Kansas
"Sheridan, KS",9,Sheridan,KS,Kansas
"Sherman, KS",8,Sherman,KS,Kansas
"Smith, KS",6,Smith,KS,Kansas
"Stafford, KS",9,Stafford,KS,Kansas
"Stanton, KS",8,Stanton,KS,Kansas
"Stevens, KS",8,Stevens,KS,Kansas
"Sumner, KS",7,Sumner,KS,Kansas
"Thomas, KS",7,Thomas,KS,Kansas
"Trego, KS",6,Trego,KS,Kansas
"Wabaunsee, KS",10,Wabaunsee,KS,Kansas
"Wallace, KS",8,Wallace,KS,Kansas
"Washington, KS",11,Washington,KS,Kansas
"Wichita, KS",8,Wichita,KS,Kansas
"Wilson, KS",7,Wilson,KS,Kansas
"Woodson, KS",8,Woodson,KS,Kansas
"Wyandotte, KS",10,Wyandotte,KS,Kansas
"Adair, KY",6,Adair,KY,Kentucky
"Allen, KY",6,Allen,KY,Kentucky
"Anderson, KY",9,Anderson,KY,Kentucky
"Ballard, KY",8,Ballard,KY,Kentucky
"Barren, KY",7,Barren,KY,Kentucky
"Bath, KY",5,Bath,KY,Kentucky
"Bell, KY",5,Bell,KY,Kentucky
"Boone, KY",6,Boone,KY,Kentucky
"Bourbon, KY",8,Bourbon,KY,Kentucky
"Boyd, KY",5,Boyd,KY,Kentucky
"Boyle, KY",6,Boyle,KY,Kentucky
"Bracken, KY",8,Bracken,KY,Kentucky
"Breathitt, KY",10,Breathitt,KY,Kentucky
"Breckinridge, KY",13,Breckinridge,KY,Kentucky
"Bullitt, KY",8,Bullitt,KY,Kentucky
"Butler, KY",7,Butler,KY,Kentucky
"Caldwell, KY",9,Caldwell,KY,Kentucky
"Calloway, KY",9,Calloway,KY,Kentucky
"Campbell, KY",9,Campbell,KY,Kentucky
"Carlisle, KY",9,Carlisle,KY,Kentucky
"Carroll, KY",8,Carroll,KY,Kentucky
"Carter, KY",7,Carter,KY,Kentucky
"Casey, KY",6,Casey,KY,Kentucky
"Christian, KY",10,Christian,KY,Kentucky
"Clark, KY",6,Clark,KY,Kentucky
"Clay, KY",5,Clay,KY,Kentucky
"Clinton, KY",8,Clinton,KY,Kentucky
"Crittenden, KY",11,Crittenden,KY,Kentucky
"Cumberland, KY",11,Cumberland,KY,Kentucky
"Daviess, KY",8,Daviess,KY,Kentucky
"Edmonson, KY",9,Edmonson,KY,Kentucky
"Elliott, KY",8,Elliott,KY,Kentucky
"Estill, KY",7,Estill,KY,Kentucky
"Fayette, KY",8,Fayette,KY,Kentucky
"Fleming, KY",8,Fleming,KY,Kentucky
"Floyd, KY",6,Floyd,KY,Kentucky
"Franklin, KY",9,Franklin,KY,Kentucky
"Fulton, KY",7,Fulton,KY,Kentucky
"Gallatin, KY",9,Gallatin,KY,Kentucky
"Garrard, KY",8,Garrard,KY,Kentucky
"Grant, KY",6,Grant,KY,Kentucky
"Graves, KY",7,Graves,KY,Kentucky
"Grayson, KY",8,Grayson,KY,Kentucky
"Green, KY",6,Green,KY,Kentucky
"Greenup, KY",8,Greenup,KY,Kentucky
"Hancock, KY",8,Hancock,KY,Kentucky
"Hardin, KY",7,Hardin,KY,Kentucky
"Harlan, KY",7,Harlan,KY,Kentucky
"Harrison, KY",9,Harrison,KY,Kentucky
"Hart, KY",5,Hart,KY,Kentucky
"Henderson, KY",10,Henderson,KY,Kentucky
"Henry, KY",6,Henry,KY,Kentucky
"Hickman, KY",8,Hickman,KY,Kentucky
"Hopkins, KY",8,Hopkins,KY,Kentucky
"Jackson, KY",8,Jackson,KY,Kentucky
"Jefferson, KY",10,Jefferson,KY,Kentucky
"Jessamine, KY",10,Jessamine,KY,Kentucky
"Johnson, KY",8,Johnson,KY,Kentucky
"Kenton, KY",7,Kenton,KY,Kentucky
"Knott, KY",6,Knott,KY,Kentucky
"Knox, KY",5,Knox,KY,Kentucky
"Larue, KY",6,Larue,KY,Kentucky
"Laurel, KY",7,Laurel,KY,Kentucky
"Lawrence, KY",9,Lawrence,KY,Kentucky
"Lee, KY",4,Lee,KY,Kentucky
"Leslie, KY",7,Leslie,KY,Kentucky
"Letcher, KY",8,Letcher,KY,Kentucky
"Lewis, KY",6,Lewis,KY,Kentucky
"Lincoln, KY",8,Lincoln,KY,Kentucky
"Livingston, KY",11,Livingston,KY,Kentucky
"Logan, KY",6,Logan,KY,Kentucky
"Lyon, KY",5,Lyon,KY,Kentucky
"Madison, KY",8,Madison,KY,Kentucky
"Magoffin, KY",9,Magoffin,KY,Kentucky
"Marion, KY",7,Marion,KY,Kentucky
"Marshall, KY",9,Marshall,KY,Kentucky
"Martin, KY",7,Martin,KY,Kentucky
"Mason, KY",6,Mason,KY,Kentucky
"McCracken, KY",10,McCracken,KY,Kentucky
"McCreary, KY",9,McCreary,KY,Kentucky
"McLean, KY",7,McLean,KY,Kentucky
"Meade, KY",6,Meade,KY,Kentucky
"Menifee, KY",8,Menifee,KY,Kentucky
"Mercer, KY",7,Mercer,KY,Kentucky
"Metcalfe, KY",9,Metcalfe,KY,Kentucky
"Monroe, KY",7,Monroe,KY,Kentucky
"Montgomery, KY",11,Montgomery,KY,Kentucky
"Morgan, KY",7,Morgan,KY,Kentucky
"Muhlenberg, KY",11,Muhlenberg,KY,Kentucky
"Nelson, KY",7,Nelson,KY,Kentucky
"Nicholas, KY",9,Nicholas,KY,Kentucky
"Ohio, KY",5,Ohio,KY,Kentucky
"Oldham, KY",7,Oldham,KY,Kentucky
"Owen, KY",5,Owen,KY,Kentucky
"Owsley, KY",7,Owsley,KY,Kentucky
"Pendleton, KY",10,Pendleton,KY,Kentucky
"Perry, KY",6,Perry,KY,Kentucky
"Pike, KY",5,Pike,KY,Kentucky
"Powell, KY",7,Powell,KY,Kentucky
"Pulaski, KY",8,Pulaski,KY,Kentucky
"Robertson, KY",10,Robertson,KY,Kentucky
"Rockcastle, KY",11,Rockcastle,KY,Kentucky
"Rowan, KY",6,Rowan,KY,Kentucky
"Russell, KY",8,Russell,KY,Kentucky
"Scott, KY",6,Scott,KY,Kentucky
"Shelby, KY",7,Shelby,KY,Kentucky
"Simpson, KY",8,Simpson,KY,Kentucky
"Spencer, KY",8,Spencer,KY,Kentucky
"Taylor, KY",7,Taylor,KY,Kentucky
"Todd, KY",5,Todd,KY,Kentucky
"Trigg, KY",6,Trigg,KY,Kentucky
"Trimble, KY",8,Trimble,KY,Kentucky
"Union, KY",6,Union,KY,Kentucky
"Warren, KY",7,Warren,KY,Kentucky
"Washington, KY",11,Washington,KY,Kentucky
"Wayne, KY",6,Wayne,KY,Kentucky
"Webster, KY",8,Webster,KY,Kentucky
"Whitley, KY",8,Whitley,KY,Kentucky
"Wolfe, KY",6,Wolfe,KY,Kentucky
"Woodford, KY",9,Woodford,KY,Kentucky
"Acadia, LA",7,Acadia,LA,Louisiana
"Allen, LA",6,Allen,LA,Louisiana
"Ascension, LA",10,Ascension,LA,Louisiana
"Assumption, LA",11,Assumption,LA,Louisiana
"Avoyelles, LA",10,Avoyelles,LA,Louisiana
"Beauregard, LA",11,Beauregard,LA,Louisiana
"Bienville, LA",10,Bienville,LA,Louisiana
"Bossier, LA",8,Bossier,LA,Louisiana
"Caddo, LA",6,Caddo,LA,Louisiana
"Calcasieu, LA",10,Calcasieu,LA,Louisiana
"Caldwell, LA",9,Caldwell,LA,Louisiana
"Cameron, LA",8,Cameron,LA,Louisiana
"Catahoula, LA",10,Catahoula,LA,Louisiana
"Claiborne, LA",10,Claiborne,LA,Louisiana
"Concordia, LA",10,Concordia,LA,Louisiana
"De Soto, LA",8,De Soto,LA,Louisiana
"East Baton Rouge, LA",17,East Baton Rouge,LA,Louisiana
"East Carroll, LA",13,East Carroll,LA,Louisiana
"East Feliciana, LA",15,East Feliciana,LA,Louisiana
"Evangeline, LA",11,Evangeline,LA,Louisiana
"Franklin, LA",9,Franklin,LA,Louisiana
"Grant, LA",6,Grant,LA,Louisiana
"Iberia, LA",7,Iberia,LA,Louisiana
"Iberville, LA",10,Iberville,LA,Louisiana
"Jackson, LA",8,Jackson,LA,Louisiana
"Jefferson Davis, LA",16,Jefferson Davis,LA,Louisiana
"Jefferson, LA",10,Jefferson,LA,Louisiana
"La Salle, LA",9,La Salle,LA,Louisiana
"Lafayette, LA",10,Lafayette,LA,Louisiana
"Lafourche, LA",10,Lafourche,LA,Louisiana
"Lincoln, LA",8,Lincoln,LA,Louisiana
"Livingston, LA",11,Livingston,LA,Louisiana
"Madison, LA",8,Madison,LA,Louisiana
"Morehouse, LA",10,Morehouse,LA,Louisiana
"Natchitoches, LA",13,Natchitoches,LA,Louisiana
"Orleans, LA",8,Orleans,LA,Louisiana
"Ouachita, LA",9,Ouachita,LA,Louisiana
"Plaquemines, LA",12,Plaquemines,LA,Louisiana
